Query Latency (Median): 5.843713 ms
Query throughput 14886.1047
                      Precision               Recall            F-measure        Avg Precision                 NDCG             	Latency
   Query #    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30                     
         1  0.700   0.700   0.640  0.011   0.022   0.049  0.021   0.042   0.091  0.608   0.666   0.648  0.173   0.213   0.242               314.39
         2  0.800   0.800   0.620  0.015   0.029   0.057  0.029   0.057   0.104  0.876   0.839   0.780  0.074   0.116   0.130                13.94
         3  0.300   0.450   0.640  0.004   0.013   0.048  0.009   0.026   0.089  0.242   0.359   0.503  0.062   0.106   0.192                 8.18
         4  0.500   0.300   0.200  0.010   0.012   0.020  0.020   0.023   0.036  0.559   0.549   0.424  0.095   0.064   0.044                50.15
         5  0.200   0.350   0.280  0.003   0.012   0.023  0.007   0.023   0.043  0.156   0.261   0.316  0.000   0.032   0.040                 4.70
         6  0.700   0.650   0.560  0.013   0.025   0.054  0.026   0.048   0.098  0.685   0.673   0.607  0.389   0.375   0.324                 8.83
         7  0.500   0.500   0.580  0.009   0.018   0.051  0.017   0.034   0.094  0.710   0.621   0.593  0.000   0.062   0.111                29.10
         8  0.700   0.450   0.380  0.012   0.015   0.032  0.023   0.030   0.060  0.909   0.843   0.629  0.227   0.171   0.158                 6.02
         9  0.800   0.600   0.580  0.014   0.021   0.052  0.028   0.041   0.095  0.986   0.911   0.729  0.285   0.262   0.240                 5.11
        10  0.700   0.800   0.540  0.029   0.067   0.113  0.056   0.124   0.188  0.780   0.788   0.728  0.543   0.565   0.474                 5.92
        11  0.200   0.200   0.200  0.004   0.007   0.018  0.007   0.014   0.032  0.183   0.181   0.196  0.000   0.000   0.020                 5.82
        12  0.700   0.700   0.720  0.014   0.028   0.071  0.027   0.053   0.130  0.933   0.822   0.759  0.418   0.461   0.419                 4.19
        13  0.500   0.250   0.280  0.007   0.007   0.020  0.014   0.014   0.037  0.593   0.593   0.405  0.133   0.089   0.072                 8.32
        14  1.000   0.900   0.740  0.020   0.036   0.074  0.039   0.069   0.135  1.000   0.962   0.901  0.498   0.382   0.372                 4.51
        15  0.900   0.700   0.580  0.011   0.017   0.035  0.021   0.033   0.066  0.947   0.905   0.775  0.000   0.017   0.012                 4.84
        16  0.700   0.700   0.580  0.010   0.021   0.043  0.020   0.040   0.080  0.840   0.802   0.702  0.124   0.182   0.197                 8.30
        17  1.000   0.800   0.620  0.025   0.040   0.077  0.049   0.076   0.137  1.000   0.943   0.844  0.505   0.439   0.307                 8.51
        18  0.700   0.750   0.600  0.019   0.040   0.080  0.036   0.076   0.142  0.566   0.679   0.661  0.295   0.332   0.254                 5.17
        19  0.300   0.350   0.460  0.006   0.013   0.043  0.011   0.025   0.079  0.643   0.491   0.442  0.000   0.033   0.107                 4.92
        20  1.000   0.750   0.620  0.026   0.039   0.080  0.050   0.073   0.141  1.000   0.934   0.800  0.291   0.317   0.303                31.96
        21  0.600   0.500   0.440  0.011   0.018   0.040  0.021   0.035   0.073  0.607   0.561   0.494  0.374   0.314   0.214                 6.01
        22  0.500   0.500   0.400  0.012   0.024   0.048  0.024   0.046   0.086  0.464   0.487   0.485  0.190   0.174   0.153                 5.10
        23  0.500   0.700   0.620  0.013   0.036   0.079  0.025   0.068   0.140  0.698   0.663   0.653  0.068   0.105   0.201                 4.40
        24  0.900   0.700   0.720  0.022   0.034   0.087  0.042   0.065   0.155  0.989   0.928   0.802  0.384   0.326   0.280                 4.56
        25  0.600   0.650   0.640  0.010   0.021   0.052  0.019   0.041   0.096  0.646   0.618   0.614  0.000   0.015   0.022                 4.28
        26  0.700   0.650   0.400  0.013   0.025   0.038  0.026   0.048   0.070  0.938   0.807   0.705  0.473   0.385   0.292                 6.85
        27  0.900   0.800   0.660  0.020   0.036   0.075  0.040   0.070   0.135  0.947   0.912   0.800  0.544   0.508   0.431                 4.64
        28  0.800   0.500   0.220  0.036   0.045   0.050  0.069   0.083   0.081  0.947   0.906   0.844  0.793   0.586   0.510                 4.23
        29  0.800   0.800   0.700  0.019   0.038   0.083  0.037   0.073   0.149  0.797   0.825   0.803  0.506   0.477   0.395                 5.45
        30  0.900   0.900   0.440  0.028   0.056   0.068  0.054   0.105   0.118  0.906   0.913   0.908  0.308   0.376   0.296                 5.08
        31  0.600   0.600   0.560  0.010   0.019   0.045  0.019   0.038   0.084  0.542   0.566   0.597  0.190   0.128   0.088                33.81
        32  1.000   0.750   0.760  0.017   0.026   0.065  0.034   0.050   0.120  1.000   0.979   0.853  0.000   0.000   0.000                 4.62
        33  0.800   0.700   0.620  0.018   0.032   0.072  0.036   0.062   0.128  0.970   0.884   0.751  0.069   0.076   0.117                 6.59
