Query Latency (Median): 126.556602 ms
Query throughput 0.6255303266830311
                      Precision               Recall            F-measure        Avg Precision                 NDCG         	Latency(ms)
   Query #    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30                     
         1  0.800   0.650   0.660  0.012   0.020   0.051  0.024   0.039   0.094  0.811   0.792   0.731  0.290   0.248   0.263              1064.86
         2  0.800   0.550   0.400  0.015   0.020   0.037  0.029   0.039   0.067  1.000   0.913   0.713  0.130   0.121   0.087             21402.57
         3  0.700   0.600   0.540  0.010   0.018   0.040  0.021   0.035   0.075  0.856   0.794   0.680  0.282   0.221   0.208              4813.33
         4  0.600   0.450   0.340  0.012   0.018   0.034  0.024   0.035   0.062  0.882   0.756   0.588  0.095   0.064   0.044             31592.74
         5  0.300   0.450   0.360  0.005   0.015   0.030  0.010   0.029   0.056  0.806   0.560   0.500  0.095   0.115   0.123                63.41
         6  0.700   0.750   0.660  0.013   0.029   0.063  0.026   0.055   0.115  0.886   0.795   0.750  0.483   0.471   0.362               664.51
         7  0.700   0.750   0.620  0.012   0.026   0.055  0.024   0.051   0.100  0.723   0.748   0.709  0.057   0.140   0.139              2980.02
         8  0.600   0.450   0.320  0.010   0.015   0.027  0.020   0.030   0.050  0.871   0.786   0.609  0.238   0.178   0.153               151.92
         9  0.800   0.750   0.560  0.014   0.027   0.050  0.028   0.052   0.092  0.896   0.819   0.734  0.353   0.290   0.265                18.25
        10  0.800   0.800   0.560  0.034   0.067   0.118  0.065   0.124   0.194  0.916   0.882   0.809  0.673   0.620   0.534               646.81
        11  0.400   0.300   0.320  0.007   0.011   0.028  0.014   0.020   0.052  0.518   0.471   0.376  0.095   0.067   0.048               107.79
        12  1.000   0.950   0.820  0.020   0.038   0.081  0.039   0.073   0.148  1.000   0.974   0.901  0.679   0.668   0.565                19.63
        13  0.700   0.650   0.460  0.010   0.018   0.032  0.019   0.035   0.060  0.730   0.716   0.626  0.211   0.176   0.127               317.36
        14  1.000   0.900   0.780  0.020   0.036   0.078  0.039   0.069   0.142  1.000   0.954   0.894  0.429   0.333   0.359                10.20
        15  1.000   0.850   0.620  0.012   0.020   0.037  0.024   0.040   0.070  1.000   0.959   0.815  0.000   0.000   0.000                65.06
        16  0.900   0.800   0.520  0.013   0.024   0.038  0.026   0.046   0.071  0.963   0.914   0.827  0.221   0.265   0.239               325.67
        17  1.000   0.750   0.720  0.025   0.037   0.090  0.049   0.071   0.160  1.000   0.939   0.857  0.646   0.466   0.362               405.82
        18  0.700   0.450   0.380  0.019   0.024   0.051  0.036   0.046   0.090  1.000   0.911   0.633  0.335   0.274   0.231                71.02
        19  0.400   0.300   0.340  0.008   0.011   0.032  0.015   0.022   0.058  0.747   0.612   0.424  0.000   0.000   0.044                39.56
        20  0.800   0.800   0.520  0.021   0.041   0.067  0.040   0.078   0.118  0.896   0.877   0.810  0.324   0.288   0.275              3811.36
        21  0.700   0.600   0.240  0.013   0.022   0.022  0.025   0.042   0.040  0.968   0.859   0.859  0.442   0.352   0.201               123.33
        22  0.500   0.500   0.460  0.012   0.024   0.055  0.024   0.046   0.099  1.000   0.793   0.618  0.190   0.216   0.163                41.25
        23  0.700   0.700   0.660  0.018   0.036   0.084  0.035   0.068   0.149  0.957   0.826   0.731  0.215   0.174   0.281                13.36
        24  1.000   0.850   0.620  0.024   0.041   0.075  0.047   0.078   0.134  1.000   0.976   0.861  0.363   0.303   0.249                18.68
        25  0.800   0.750   0.600  0.013   0.024   0.049  0.025   0.047   0.090  0.909   0.837   0.757  0.029   0.019   0.011                16.75
        26  0.700   0.650   0.440  0.013   0.025   0.042  0.026   0.048   0.077  0.933   0.825   0.724  0.548   0.435   0.278               424.12
        27  1.000   0.800   0.740  0.023   0.036   0.084  0.044   0.070   0.151  1.000   0.949   0.803  0.721   0.568   0.483                30.63
        28  0.800   0.550   0.300  0.036   0.050   0.068  0.069   0.091   0.111  0.947   0.889   0.766  0.798   0.591   0.514                 5.79
        29  0.900   0.850   0.700  0.021   0.040   0.083  0.042   0.077   0.149  0.878   0.887   0.846  0.403   0.372   0.381               111.55
        30  0.900   0.900   0.520  0.028   0.056   0.080  0.054   0.105   0.139  0.947   0.934   0.912  0.376   0.406   0.328                 5.00
        31  1.000   0.800   0.700  0.016   0.026   0.057  0.032   0.050   0.105  1.000   0.941   0.822  0.000   0.000   0.020              4640.50
        32  0.700   0.750   0.760  0.012   0.026   0.065  0.024   0.050   0.120  0.604   0.693   0.738  0.000   0.000   0.000                21.51
        33  0.900   0.950   0.740  0.021   0.044   0.085  0.041   0.084   0.153  0.977   0.954   0.860  0.101   0.086   0.123               214.88
        34  0.700   0.500   0.400  0.020   0.028   0.056  0.038   0.053   0.099  0.716   0.671   0.546  0.000   0.000   0.000                29.89
        35  0.700   0.550   0.280  0.024   0.038   0.048  0.046   0.070   0.082  0.962   0.842   0.744  0.190   0.198   0.213               211.86
        36  1.000   0.850   0.660  0.036   0.061   0.118  0.069   0.114   0.201  1.000   0.964   0.862  0.877   0.758   0.620               589.75
        37  0.900   0.900   0.840  0.025   0.051   0.119  0.049   0.096   0.208  0.878   0.890   0.897  0.411   0.344   0.294              1371.67
        38  0.800   0.600   0.400  0.037   0.055   0.092  0.070   0.101   0.149  0.953   0.870   0.748  0.572   0.422   0.339               207.50
        39  1.000   0.850   0.500  0.104   0.177   0.260  0.189   0.293   0.342  1.000   0.983   0.899  0.689   0.590   0.531                15.64
