Query Latency (Median): 8.80691 ms
Query throughput 146.04088804297854
                      Precision               Recall            F-measure        Avg Precision                 NDCG             	Latency(ms)
   Query #    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30                     
         1  0.800   0.750   0.720  0.012   0.023   0.055  0.024   0.045   0.103  0.684   0.741   0.764  0.317   0.265   0.284                30.26
         2  1.000   1.000   0.740  0.018   0.037   0.068  0.036   0.071   0.125  1.000   1.000   0.948  0.121   0.138   0.155                37.47
         3  0.700   0.700   0.720  0.010   0.021   0.054  0.021   0.041   0.100  0.910   0.815   0.766  0.376   0.253   0.291                29.80
         4  0.400   0.450   0.280  0.008   0.018   0.028  0.016   0.035   0.051  0.950   0.672   0.535  0.095   0.064   0.044               101.09
         5  0.700   0.500   0.400  0.012   0.017   0.033  0.023   0.032   0.062  0.892   0.786   0.635  0.095   0.064   0.095                 4.77
         6  0.700   0.600   0.680  0.013   0.023   0.065  0.026   0.044   0.119  0.857   0.786   0.707  0.581   0.475   0.405                11.65
         7  0.700   0.700   0.700  0.012   0.025   0.062  0.024   0.048   0.113  0.652   0.673   0.684  0.000   0.099   0.128                39.00
         8  0.600   0.550   0.440  0.010   0.019   0.038  0.020   0.036   0.069  0.872   0.756   0.620  0.268   0.217   0.192                 9.11
         9  0.700   0.750   0.540  0.013   0.027   0.048  0.025   0.052   0.089  0.948   0.840   0.736  0.406   0.331   0.299                 7.31
        10  0.800   0.800   0.560  0.034   0.067   0.118  0.065   0.124   0.194  0.916   0.884   0.807  0.664   0.631   0.548                 8.93
        11  0.400   0.300   0.320  0.007   0.011   0.028  0.014   0.020   0.052  0.381   0.366   0.355  0.041   0.029   0.039                 9.28
        12  1.000   0.950   0.820  0.020   0.038   0.081  0.039   0.073   0.148  1.000   0.974   0.901  0.657   0.654   0.557                 6.83
        13  0.600   0.650   0.420  0.008   0.018   0.029  0.017   0.035   0.055  0.554   0.587   0.552  0.157   0.138   0.092                11.35
        14  1.000   0.900   0.780  0.020   0.036   0.078  0.039   0.069   0.142  1.000   0.954   0.893  0.429   0.333   0.358                 6.11
        15  1.000   0.900   0.680  0.012   0.022   0.041  0.024   0.042   0.077  1.000   0.969   0.878  0.000   0.000   0.010                 7.12
        16  0.900   0.850   0.660  0.013   0.025   0.049  0.026   0.049   0.091  0.947   0.907   0.860  0.199   0.195   0.237                11.72
        17  1.000   0.950   0.720  0.025   0.047   0.090  0.049   0.090   0.160  1.000   0.997   0.916  0.640   0.548   0.372                11.52
        18  0.800   0.750   0.680  0.021   0.040   0.091  0.042   0.076   0.160  0.970   0.892   0.815  0.474   0.402   0.338                 9.35
        19  0.600   0.700   0.580  0.011   0.026   0.055  0.022   0.051   0.100  0.688   0.693   0.671  0.066   0.142   0.160                 9.30
        20  0.900   0.750   0.560  0.023   0.039   0.072  0.045   0.073   0.128  1.000   0.927   0.806  0.476   0.402   0.359                46.35
        21  0.800   0.750   0.540  0.014   0.027   0.049  0.028   0.052   0.090  0.876   0.824   0.769  0.566   0.481   0.323                 8.68
        22  0.700   0.600   0.500  0.017   0.029   0.060  0.033   0.055   0.108  0.738   0.688   0.592  0.355   0.239   0.198                 6.77
        23  0.700   0.700   0.660  0.018   0.036   0.084  0.035   0.068   0.149  0.957   0.826   0.731  0.215   0.174   0.281                 6.06
        24  1.000   0.850   0.620  0.024   0.041   0.075  0.047   0.078   0.134  1.000   0.976   0.861  0.363   0.303   0.249                 6.83
        25  0.700   0.750   0.600  0.011   0.024   0.049  0.022   0.047   0.090  0.880   0.807   0.742  0.030   0.020   0.011                 6.28
        26  0.800   0.500   0.520  0.015   0.019   0.050  0.030   0.037   0.091  0.959   0.912   0.689  0.678   0.456   0.392                10.19
        27  1.000   0.950   0.760  0.023   0.043   0.086  0.044   0.083   0.155  1.000   0.985   0.924  0.759   0.721   0.536                 6.80
        28  0.800   0.550   0.300  0.036   0.050   0.068  0.069   0.091   0.111  0.947   0.889   0.766  0.798   0.591   0.514                 6.25
        29  0.900   0.800   0.740  0.021   0.038   0.088  0.042   0.073   0.157  0.947   0.911   0.864  0.574   0.487   0.432                 7.34
        30  0.900   0.900   0.520  0.028   0.056   0.080  0.054   0.105   0.139  0.906   0.913   0.898  0.302   0.349   0.288                 9.75
        31  1.000   0.900   0.680  0.016   0.029   0.055  0.032   0.057   0.102  1.000   0.971   0.874  0.000   0.000   0.020                42.69
        32  1.000   0.800   0.780  0.017   0.027   0.067  0.034   0.053   0.123  1.000   0.952   0.879  0.000   0.000   0.000                 5.99
        33  1.000   0.850   0.700  0.023   0.039   0.081  0.045   0.075   0.145  1.000   0.948   0.864  0.108   0.087   0.131                 9.96
        34  0.700   0.450   0.400  0.020   0.025   0.056  0.038   0.048   0.099  0.913   0.840   0.609  0.000   0.000   0.000                13.96
        35  0.700   0.700   0.500  0.024   0.048   0.085  0.046   0.089   0.146  0.812   0.748   0.691  0.120   0.100   0.100                 8.60
        36  0.900   0.850   0.620  0.032   0.061   0.111  0.062   0.114   0.188  0.977   0.948   0.874  0.937   0.810   0.577                 7.70
        37  0.900   0.950   0.860  0.025   0.054   0.121  0.049   0.102   0.213  0.977   0.954   0.920  0.448   0.385   0.323                10.07
        38  0.800   0.550   0.400  0.037   0.050   0.092  0.070   0.092   0.149  0.896   0.826   0.662  0.585   0.440   0.333                 6.24
        39  1.000   0.850   0.500  0.104   0.177   0.260  0.189   0.293   0.342  1.000   0.977   0.896  0.787   0.638   0.566                 1.48
        40  1.000   0.900   0.760  0.025   0.045   0.095  0.049   0.086   0.169  1.000   0.979   0.879  0.296   0.229   0.234                 8.21
        41  0.200   0.100   0.040  0.037   0.037   0.037  0.063   0.054   0.038  1.000   1.000   1.000  0.000   0.000   0.000                 2.22
        42  0.600   0.750   0.500  0.102   0.254   0.424  0.174   0.380   0.459  0.549   0.647   0.683  0.000   0.000   0.000                40.78
        43  0.400   0.250   0.120  0.089   0.111   0.133  0.145   0.154   0.126  0.817   0.712   0.616  0.000   0.000   0.000                 6.83
        44  0.700   0.700   0.440  0.055   0.109   0.172  0.101   0.189   0.247  0.751   0.752   0.684  0.531   0.573   0.550                 9.82
        45  0.700   0.550   0.340  0.095   0.149   0.230  0.167   0.234   0.274  0.982   0.844   0.716  0.720   0.624   0.682                11.20
        46  0.700   0.750   0.560  0.089   0.190   0.354  0.157   0.303   0.434  0.640   0.710   0.700  0.230   0.230   0.303                 5.17
        47  0.300   0.300   0.240  0.063   0.125   0.250  0.103   0.176   0.245  0.556   0.437   0.355  0.199   0.244   0.337                 2.95
        48  0.800   0.550   0.380  0.205   0.282   0.487  0.327   0.373   0.427  0.959   0.882   0.728  0.509   0.435   0.608                 4.77
        49  0.300   0.250   0.340  0.016   0.027   0.093  0.031   0.050   0.147  0.681   0.520   0.396  0.334   0.396   0.396                12.52
        50  0.600   0.550   0.380  0.030   0.055   0.095  0.057   0.100   0.152  0.944   0.778   0.636  0.000   0.000   0.021                 7.65
      Mean  0.758   0.688   0.546  0.032   0.057   0.103  0.059   0.096   0.152  0.878   0.827   0.747  0.330   0.288   0.267                14.04
