Query Latency (Median): 150.10080299999998 ms
Query throughput 0.6084914489677261
                      Precision               Recall            F-measure        Avg Precision                 NDCG         	Latency(ms)
   Query #    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30    @10     @20     @30                     
         1  0.800   0.700   0.620  0.012   0.022   0.048  0.024   0.042   0.088  0.947   0.860   0.734  0.415   0.345   0.293              1615.30
         2  0.500   0.300   0.260  0.009   0.011   0.024  0.018   0.021   0.044  0.911   0.815   0.525  0.000   0.031   0.040             23224.51
         3  0.700   0.500   0.540  0.010   0.015   0.040  0.021   0.029   0.075  0.738   0.741   0.602  0.127   0.120   0.172              5235.33
         4  0.000   0.050   0.060  0.000   0.002   0.006  0.000   0.004   0.011  0.000   0.067   0.070  0.000   0.000   0.000             32251.56
         5  0.300   0.400   0.280  0.005   0.013   0.023  0.010   0.026   0.043  0.667   0.486   0.427  0.000   0.096   0.098                58.40
         6  0.800   0.700   0.540  0.015   0.027   0.052  0.030   0.052   0.094  0.811   0.814   0.705  0.325   0.369   0.296               360.18
         7  0.300   0.450   0.360  0.005   0.016   0.032  0.010   0.031   0.058  0.540   0.458   0.412  0.000   0.104   0.117              2784.94
         8  0.600   0.400   0.360  0.010   0.014   0.031  0.020   0.026   0.057  0.769   0.687   0.535  0.222   0.181   0.163               131.09
         9  0.800   0.600   0.580  0.014   0.021   0.052  0.028   0.041   0.095  0.986   0.911   0.729  0.285   0.262   0.240                17.99
        10  0.800   0.800   0.520  0.034   0.067   0.109  0.065   0.124   0.181  0.975   0.917   0.826  0.706   0.628   0.516               169.11
        11  0.200   0.250   0.220  0.004   0.009   0.019  0.007   0.017   0.035  0.310   0.290   0.273  0.060   0.042   0.039               119.41
        12  0.700   0.700   0.720  0.014   0.028   0.071  0.027   0.053   0.130  0.933   0.822   0.759  0.418   0.461   0.419                18.00
        13  0.600   0.350   0.300  0.008   0.010   0.021  0.017   0.019   0.039  0.915   0.847   0.574  0.291   0.196   0.140               320.57
        14  1.000   0.900   0.740  0.020   0.036   0.074  0.039   0.069   0.135  1.000   0.954   0.898  0.440   0.340   0.365                 8.66
        15  0.900   0.750   0.640  0.011   0.018   0.038  0.021   0.035   0.072  0.977   0.926   0.808  0.000   0.000   0.009                62.31
        16  0.500   0.500   0.280  0.007   0.015   0.021  0.015   0.029   0.038  0.839   0.689   0.586  0.066   0.068   0.066               299.79
        17  0.500   0.650   0.540  0.012   0.032   0.067  0.024   0.062   0.120  0.789   0.680   0.665  0.349   0.333   0.232               786.59
        18  0.600   0.350   0.500  0.016   0.019   0.067  0.031   0.036   0.118  0.948   0.868   0.567  0.332   0.223   0.244                61.92
        19  0.500   0.300   0.400  0.009   0.011   0.038  0.018   0.022   0.069  0.734   0.683   0.460  0.000   0.000   0.089                41.49
        20  0.500   0.350   0.360  0.013   0.018   0.046  0.025   0.034   0.082  0.653   0.601   0.462  0.000   0.020   0.035              3430.23
        21  0.300   0.350   0.360  0.005   0.013   0.033  0.011   0.024   0.060  0.810   0.530   0.419  0.190   0.206   0.174               780.13
        22  0.500   0.500   0.400  0.012   0.024   0.048  0.024   0.046   0.086  0.709   0.618   0.550  0.190   0.174   0.153                38.86
        23  0.500   0.700   0.620  0.013   0.036   0.079  0.025   0.068   0.140  0.698   0.663   0.653  0.068   0.105   0.201                12.34
        24  0.900   0.700   0.720  0.022   0.034   0.087  0.042   0.065   0.155  0.989   0.928   0.802  0.384   0.326   0.280                17.78
        25  0.600   0.650   0.640  0.010   0.021   0.052  0.019   0.041   0.096  0.646   0.618   0.614  0.000   0.015   0.022                15.55
        26  0.400   0.350   0.240  0.008   0.013   0.023  0.015   0.026   0.042  0.888   0.695   0.516  0.177   0.119   0.110               321.39
        27  0.700   0.750   0.640  0.016   0.034   0.073  0.031   0.065   0.131  0.886   0.807   0.728  0.485   0.475   0.415                28.31
        28  0.800   0.500   0.220  0.036   0.045   0.050  0.069   0.083   0.081  0.947   0.906   0.844  0.793   0.586   0.510                 4.17
        29  0.900   0.900   0.580  0.021   0.043   0.069  0.042   0.082   0.123  0.878   0.887   0.837  0.242   0.326   0.295                85.62
        30  0.900   0.900   0.440  0.028   0.056   0.068  0.054   0.105   0.118  0.947   0.934   0.925  0.362   0.418   0.325                 4.75
        31  0.500   0.250   0.160  0.008   0.008   0.013  0.016   0.016   0.024  0.796   0.796   0.578  0.000   0.000   0.000              4328.73
        32  1.000   0.850   0.780  0.017   0.029   0.067  0.034   0.056   0.123  1.000   0.984   0.871  0.000   0.000   0.000                19.20
        33  0.800   0.750   0.660  0.018   0.035   0.076  0.036   0.066   0.137  0.953   0.873   0.814  0.048   0.078   0.080               195.47
        34  0.500   0.400   0.360  0.014   0.023   0.051  0.027   0.043   0.089  0.405   0.414   0.396  0.000   0.000   0.000                27.41
        35  0.500   0.350   0.220  0.017   0.024   0.038  0.033   0.045   0.064  0.668   0.605   0.491  0.096   0.080   0.097               180.73
        36  0.700   0.650   0.440  0.025   0.047   0.079  0.048   0.087   0.134  0.874   0.779   0.654  0.457   0.503   0.384               560.66
        37  0.400   0.350   0.360  0.011   0.020   0.051  0.022   0.037   0.089  0.374   0.383   0.393  0.097   0.083   0.078               834.98
        38  0.600   0.500   0.300  0.028   0.046   0.069  0.053   0.084   0.112  0.769   0.699   0.609  0.127   0.168   0.136               201.04
        39  1.000   0.750   0.500  0.104   0.156   0.260  0.189   0.259   0.342  1.000   0.956   0.843  0.590   0.518   0.500                14.38
        40  0.600   0.600   0.680  0.015   0.030   0.085  0.029   0.057   0.151  0.944   0.792   0.705  0.177   0.222   0.209                54.74
        41  0.200   0.100   0.040  0.037   0.037   0.037  0.063   0.054   0.038  1.000   1.000   1.000  0.000   0.000   0.000                 6.50
        42  0.500   0.350   0.160  0.085   0.119   0.136  0.145   0.177   0.147  0.430   0.420   0.390  0.000   0.000   0.000              1074.58
        43  0.000   0.000   0.000  0.000   0.000   0.000  0.000   0.000   0.000  0.000   0.000   0.000  0.000   0.000   0.000               329.68
        44  0.100   0.200   0.120  0.008   0.031   0.047  0.014   0.054   0.067  1.000   0.378   0.318  0.095   0.157   0.126               300.74
        45  0.600   0.400   0.240  0.081   0.108   0.162  0.143   0.170   0.194  0.654   0.601   0.551  0.362   0.304   0.366               535.83
        46  0.600   0.700   0.560  0.076   0.177   0.354  0.135   0.283   0.434  0.608   0.651   0.658  0.276   0.269   0.339                 4.98
        47  0.200   0.300   0.200  0.042   0.125   0.208  0.069   0.176   0.204  0.625   0.397   0.332  0.190   0.296   0.340                65.90
        48  0.600   0.400   0.300  0.154   0.205   0.385  0.245   0.271   0.337  0.886   0.789   0.573  0.399   0.350   0.458                19.24
        49  0.300   0.300   0.240  0.016   0.033   0.066  0.031   0.059   0.103  0.444   0.397   0.340  0.000   0.000   0.000               767.05
        50  0.300   0.200   0.240  0.015   0.020   0.060  0.029   0.036   0.096  0.756   0.619   0.366  0.072   0.062   0.084               342.32
      Mean  0.562   0.494   0.405  0.023   0.040   0.074  0.043   0.068   0.110  0.760   0.685   0.588  0.198   0.193   0.185              1643.41


